date,strategy_equity,bh_equity,signal,sentiment_compound,news_count
2025-05-19,100000.000000,100000.000000,Hold,0.000000,0
2025-05-20,100000.000000,99611.977671,Sell,-0.257233,3
2025-05-21,101613.513095,98004.725367,Sell,-0.259680,5
2025-05-22,101658.718044,97961.125864,Sell,-0.233517,6
2025-05-23,102340.676017,97303.972478,Sell,-0.256857,7
2025-05-27,100246.882664,99294.719644,Buy,0.057313,8
2025-05-28,99688.385262,98741.526951,Hold,0.026740,5
2025-05-29,100088.254450,99137.598110,Buy,0.133617,6
2025-05-30,100080.128438,99129.549280,Buy,0.074043,7
2025-06-02,100490.661324,99536.182850,Buy,0.111358,12
2025-06-03,101073.536762,100113.522032,Hold,-0.034894,17
2025-06-04,101080.985606,100120.900125,Hold,-0.013984,19
2025-06-05,100547.541714,99592.522980,Sell,-0.162700,17
2025-06-06,99513.843608,100616.402834,Sell,-0.164618,11
2025-06-09,99422.296363,100708.964372,Hold,0.047825,12
2025-06-10,98877.164566,101261.150961,Buy,0.133050,10
2025-06-11,98605.855367,100983.300339,Buy,0.087818,11
2025-06-12,98982.769485,101369.302076,Buy,0.056654,13
2025-06-13,97864.621719,100224.195113,Buy,0.056654,13
2025-06-16,98783.831674,101165.567758,Sell,-0.147425,12
2025-06-17,99608.893329,100320.613383,Sell,-0.059243,7
2025-06-18,99639.696444,100289.590176,Sell,-0.110608,13
2025-06-20,99856.777757,100071.092963,Hold,0.022012,17
2025-06-23,98897.502836,101032.426705,Sell,-0.069200,7
2025-06-24,97797.591722,102156.081861,Buy,0.083863,8
2025-06-25,97797.270663,102155.746493,Sell,-0.055856,9
2025-06-26,97012.925713,102975.046902,Buy,0.197436,11
2025-06-27,97519.233275,103512.470596,Buy,0.135378,9
2025-06-30,98022.864737,104047.053725,Sell,-0.187700,13
2025-07-01,98132.505889,103930.674359,Sell,-0.186929,14
2025-07-02,97666.858543,104423.834522,Sell,-0.102857,14
2025-07-03,96852.418602,105294.620610,Hold,-0.033300,13
2025-07-07,97613.900844,104466.763290,Hold,0.024907,15
2025-07-08,97683.781967,104391.976249,Hold,0.049567,15
2025-07-09,97091.611932,105024.812110,Buy,0.199636,11
2025-07-10,97358.245474,105313.231851,Buy,0.115020,10
2025-07-11,97037.203820,104965.958398,Hold,-0.011690,10
2025-07-14,97173.775963,105113.689632,Sell,-0.097587,8
2025-07-15,97558.224506,104697.828414,Sell,-0.169986,7
2025-07-16,97246.657424,105032.196911,Hold,0.029250,4
2025-07-17,96724.076009,105596.616044,Sell,-0.126991,11
2025-07-18,96732.829368,105587.059736,Sell,-0.058562,13
2025-07-21,96597.486455,105734.790970,Sell,-0.150656,9
2025-07-22,96535.902801,105802.199916,Sell,-0.208457,7
2025-07-23,95781.774307,106628.715765,Hold,-0.022827,11
2025-07-24,95714.897832,106703.165761,Hold,-0.043125,12
