Date,Open,High,Low,Close,Volume
2025-05-19,5902.88,5968.61,5895.69,5963.60,2576639838
2025-05-20,5944.66,5953.06,5909.26,5940.46,2543562609
2025-05-21,5910.18,5938.37,5830.91,5844.61,3112417919
2025-05-22,5841.26,5878.08,5825.82,5842.01,2780782105
2025-05-23,5781.89,5829.51,5767.41,5802.82,2550252052
2025-05-27,5854.07,5924.33,5854.07,5921.54,2882838064
2025-05-28,5925.54,5939.92,5881.88,5888.55,2613506833
2025-05-29,5939.96,5943.13,5873.80,5912.17,2851903524
2025-05-30,5903.67,5922.14,5843.66,5911.69,4812538509
2025-06-02,5896.68,5937.40,5861.43,5935.94,2747394993
2025-06-03,5938.56,5981.35,5929.00,5970.37,2959610307
2025-06-04,5978.94,5990.48,5966.11,5970.81,2680331774
2025-06-05,5985.67,5999.70,5921.20,5939.30,3128216678
2025-06-06,5987.06,6016.87,5978.63,6000.36,2557851418
2025-06-09,6004.63,6021.31,5994.18,6005.88,2882903740
2025-06-10,6009.91,6043.01,6000.28,6038.81,2976909395
2025-06-11,6049.38,6059.40,6002.32,6022.24,2978585361
2025-06-12,6009.90,6045.43,6003.88,6045.26,2614508550
2025-06-13,6000.56,6026.16,5963.21,5976.97,3001801788
2025-06-16,6004.00,6050.83,6004.00,6033.11,2870307250
2025-06-17,6012.15,6023.25,5974.80,5982.72,2830518423
2025-06-18,5987.93,6018.25,5971.89,5980.87,2941500424
2025-06-20,5999.67,6018.20,5952.56,5967.84,5166023140
2025-06-23,5969.67,6028.77,5943.23,6025.17,3240747265
2025-06-24,6061.21,6101.76,6059.25,6092.18,3266927469
2025-06-25,6104.23,6108.51,6080.09,6092.16,2877946880
2025-06-26,6112.09,6146.52,6107.27,6141.02,3030187464
2025-06-27,6150.70,6187.68,6132.35,6173.07,4593035679
2025-06-30,6193.36,6215.08,6174.97,6204.95,3341748573
2025-07-01,6187.25,6210.78,6177.97,6198.01,3552404111
2025-07-02,6193.88,6227.60,6188.29,6227.42,3137017015
2025-07-03,6246.46,6284.65,6246.46,6279.35,1819948745
2025-07-07,6259.04,6262.07,6201.00,6229.98,2745690910
2025-07-08,6234.03,6242.70,6217.75,6225.52,3004891870
2025-07-09,6243.33,6269.16,6231.43,6263.26,2811985741
2025-07-10,6266.80,6290.22,6251.44,6280.46,2828822051
2025-07-11,6255.68,6269.44,6237.60,6259.75,2619070458
2025-07-14,6255.15,6273.31,6239.22,6268.56,2714541025
2025-07-15,6295.29,6302.04,6241.68,6243.76,3107475666
2025-07-16,6254.50,6268.12,6201.59,6263.70,2965044588
2025-07-17,6263.40,6304.69,6262.27,6297.36,3032165934
2025-07-18,6312.95,6315.61,6285.27,6296.79,3045580686
2025-07-21,6304.74,6336.08,6303.79,6305.60,2664791496
2025-07-22,6306.60,6316.12,6281.71,6309.62,2984046932
2025-07-23,6326.90,6360.64,6317.49,6358.91,3236476715
2025-07-24,6368.60,6381.31,6360.57,6363.35,3364122614
2025-07-25,6370.01,6395.82,6368.53,6388.64,2992173391
2025-07-28,6397.69,6401.07,6375.79,6389.77,2850714198
2025-07-29,6405.62,6409.26,6363.92,6370.86,3249723768
2025-07-30,6381.23,6396.54,6336.38,6362.90,3318616891
2025-07-31,6427.02,6427.02,6327.64,6339.39,4064512298
2025-08-01,6287.28,6287.28,6212.69,6238.01,3612531795
2025-08-04,6271.71,6330.69,6271.71,6329.94,3001426566
2025-08-05,6336.63,6346.00,6289.37,6299.19,3161668228
2025-08-06,6309.30,6352.83,6301.11,6345.06,3273682928
2025-08-07,6374.32,6389.71,6310.32,6340.00,3147667079
2025-08-08,6355.22,6395.16,6355.22,6389.45,2816498530
2025-08-11,6389.67,6407.25,6364.06,6373.45,2882117019
2025-08-12,6395.17,6446.55,6385.76,6445.76,2870584140
2025-08-13,6462.67,6480.28,6445.02,6466.58,3088354173
2025-08-14,6453.46,6473.92,6441.07,6468.54,2766449273
2025-08-15,6477.38,6481.34,6441.85,6449.80,3147834712
2025-08-18,6445.02,6455.35,6437.70,6449.15,2572650774
2025-08-19,6446.24,6456.48,6400.22,6411.37,2900381286
2025-08-20,6406.62,6408.40,6343.86,6395.78,3031684438
2025-08-21,6380.83,6393.65,6352.71,6370.17,2422545066
2025-08-22,6384.59,6478.89,6384.59,6466.91,3043140065
2025-08-25,6457.67,6466.89,6438.06,6439.32,2483635965
2025-08-26,6435.49,6468.37,6429.21,6465.94,3237985819
2025-08-27,6462.26,6487.06,6457.84,6481.40,2910864343
2025-08-28,6483.84,6508.23,6466.96,6501.86,2615361149
2025-08-29,6489.28,6491.76,6444.57,6460.26,2531991994
2025-09-02,6401.51,6416.54,6360.58,6415.54,2867489542
2025-09-03,6445.82,6453.67,6416.17,6448.26,2768763199
2025-09-04,6456.60,6502.54,6445.98,6502.08,2722880446
2025-09-05,6529.08,6532.65,6443.98,6481.50,3160633711
2025-09-08,6498.09,6508.67,6483.29,6495.15,2993595979
2025-09-09,6503.33,6518.23,6483.08,6512.61,2652338286
2025-09-10,6550.29,6555.97,6516.34,6532.04,3160981102
2025-09-11,6554.41,6592.89,6545.80,6587.47,3242830560
2025-09-12,6590.66,6600.21,6579.49,6584.29,2978174116
2025-09-15,6603.49,6619.62,6602.07,6615.28,2902053619
2025-09-16,6624.13,6626.99,6600.11,6606.76,2888764313
2025-09-17,6604.87,6624.39,6551.15,6600.35,3024891495
2025-09-18,6626.85,6656.80,6611.89,6631.96,3438422037
2025-09-19,6647.11,6671.82,6630.31,6664.36,5972430543
2025-09-22,6654.28,6698.88,6648.07,6693.75,3275038698
2025-09-23,6692.44,6699.52,6645.58,6656.92,3104178812
2025-09-24,6669.79,6672.66,6621.76,6637.97,2973054973
2025-09-25,6608.19,6619.00,6569.22,6604.72,3297853440
2025-09-26,6615.38,6648.97,6604.43,6643.70,2909115970
2025-09-29,6661.58,6677.31,6644.49,6661.21,3188290296
2025-09-30,6656.19,6691.25,6641.00,6688.46,3519970488
2025-10-01,6664.92,6718.48,6656.20,6711.20,3495588292
2025-10-02,6731.31,6731.94,6693.23,6715.35,3026789924
2025-10-03,6722.14,6750.87,6705.67,6715.79,2900595175
2025-10-06,6733.86,6749.52,6717.78,6740.28,3240662990
2025-10-07,6746.14,6754.49,6699.96,6714.59,3033658138
2025-10-08,6723.87,6755.64,6718.09,6753.72,2876408422
2025-10-09,6760.50,6764.58,6716.17,6735.11,2800767651
2025-10-10,6740.49,6762.40,6550.78,6552.51,3530624627
2025-10-13,6622.53,6668.68,6620.71,6654.72,2695690912
2025-10-14,6602.49,6680.70,6555.07,6644.31,2971654773
2025-10-15,6688.27,6724.12,6612.11,6671.06,2936923107
2025-10-16,6689.02,6709.34,6593.99,6629.07,3301839541
2025-10-17,6613.27,6678.88,6603.76,6664.01,3130834811
2025-10-20,6690.05,6744.35,6690.05,6735.13,2653125000
2025-10-21,6736.75,6752.16,6722.03,6735.35,3124255568
2025-10-22,6741.34,6741.75,6655.69,6699.40,3407489963
2025-10-23,6703.65,6749.53,6700.14,6738.44,3317281117
2025-10-24,6772.07,6807.11,6772.07,6791.69,3027308723
2025-10-27,6845.46,6877.28,6843.94,6875.16,3270474398
2025-10-28,6897.74,6911.30,6870.73,6890.89,3370215922
2025-10-29,6910.95,6920.34,6851.91,6890.59,3970463970
2025-10-30,6860.50,6880.75,6820.69,6822.34,3911030954
2025-10-31,6879.17,6879.17,6814.26,6840.20,3777566754
2025-11-03,6882.32,6882.32,6820.62,6851.97,3696845759
2025-11-04,6788.52,6820.21,6766.71,6771.55,3766080803
2025-11-05,6769.77,6829.78,6763.11,6796.29,3497780397
2025-11-06,6787.59,6796.68,6707.51,6720.32,3602126821
2025-11-07,6696.18,6730.11,6631.44,6728.80,3552268846
2025-11-10,6785.36,6841.32,6770.56,6832.43,3147459093
2025-11-11,6815.64,6855.13,6806.87,6846.61,2798112864
2025-11-12,6867.77,6869.91,6829.62,6850.92,2948317943
2025-11-13,6826.47,6828.05,6724.72,6737.49,3371885452
2025-11-14,6672.14,6774.31,6646.87,6734.11,3114116339
2025-11-17,6713.61,6754.50,6638.90,6672.41,3196879298
2025-11-18,6641.19,6666.63,6574.32,6617.32,3291906077
2025-11-19,6625.84,6689.75,6603.50,6642.16,3101765442
2025-11-20,6737.93,6770.35,6534.05,6538.76,3725506076
2025-11-21,6555.77,6660.05,6521.92,6602.99,4020556228
2025-11-24,6636.54,6715.75,6630.70,6705.12,4453666392
2025-11-25,6697.03,6776.40,6659.98,6765.88,3295356681
2025-11-26,6793.55,6831.44,6783.87,6812.61,2724579024
2025-11-28,6822.52,6850.86,6819.75,6849.09,1460964531
2025-12-01,6812.30,6843.65,6799.94,6812.63,2786724935
2025-12-02,6830.96,6851.55,6806.71,6829.37,2996900655
2025-12-03,6815.29,6862.42,6810.43,6849.72,2967644778
2025-12-04,6866.47,6866.47,6827.12,6857.12,2961946147
2025-12-05,6866.32,6895.78,6858.29,6870.40,3146162668
2025-12-08,6875.20,6878.27,6827.19,6846.51,3191290438
2025-12-09,6840.61,6864.92,6837.43,6840.51,2757882544
2025-12-10,6833.49,6900.67,6824.69,6886.68,3514933517
2025-12-11,6861.30,6903.46,6833.45,6901.00,3110588589
